src,lobe,region,v,sa
ys,ru,airways,207,1.72
ys,ru,alveoli,596,10.89
ys,rm,airways,98,0.83
ys,rm,alveoli,298,5.44
ys,rl,airways,440,3.58
ys,rl,alveoli,1191,21.75
ys,lu,airways,231,1.89
ys,lu,alveoli,828,10.89
ys,ll,airways,454,3.66
ys,ll,alveoli,1191,21.75
lattice,ru,c,10.92,0.011
lattice,ru,p,203.48,0.991
lattice,ru,e,632,
lattice,ru,compressible,549,
lattice,rm,c,3.05,0.004
lattice,rm,p,98.76,0.462
lattice,rm,e,196,
lattice,rm,compressible,134,
lattice,rl,c,28.55,0.028
lattice,rl,p,433.81,2.036
lattice,rl,e,888,
lattice,rl,compressible,549,
lattice,lu,c,9.76,0.01
lattice,lu,p,235.64,1.08
lattice,lu,e,664,
lattice,lu,compressible,549,
lattice,ll,c,25.63,0.026
lattice,ll,p,453.6,2.088
lattice,ll,e,770,
lattice,ll,compressible,549,
